filename,z,norm_factor,Ha_Hb_ratio,Ha_Hb_ratio_err,logL5100,logL5100_err,OIII_Hbeta_ratio,OIII_Hbeta_ratio_err,F2000N,F2000N_err,F5500N,F5500N_err,group
capers-cos07-v4_prism-clear_6368_43711.spec.fits,4.42044,2.5586333169172617e-20,8.131769834094708,0.28446971197156623,43.48831985957088,0.0043036819347683775,5.727709027491577,0.21401955466427294,2.5530562258844216,0.32432934707640243,1.3529010961309997,0.07052505039149887,G2
capers-cos10-v4_prism-clear_6368_30440.spec.fits,3.5045,2.1219600437583867e-20,7.822454902357007,0.5048145901181273,42.78242138665142,0.017787671944613948,5.374019931527641,0.36470036490854346,2.289895927198416,0.5443837800535204,0.6065798041343937,0.0847038961139424,G1
capers-cos10-v4_prism-clear_6368_32659.spec.fits,4.44217,5.286217371908486e-21,3.710558108309424,0.30862577426567883,42.844623883527134,0.02189729406786256,2.772763743774942,0.2621081432483346,3.8011055011549586,1.8134204436780639,1.2980280962174855,0.4776105336712195,G2
capers-cos19-v4_prism-clear_6368_4771.spec.fits,5.92735,4.01237914965181e-21,8.432723546613918,0.5403487697572174,43.16203767013268,0.017573215228686934,1.7768631544501996,0.12632710107663978,3.0925774966852155,1.7218168340524835,1.6546026818680573,0.5643737688707854,G2
capers-cos19-v4_prism-clear_6368_9226.spec.fits,3.7241027,6.832513630938611e-20,11.570908900921902,0.7920440676311999,43.605355503008,0.006026907729644648,6.001349473716506,0.42931069318869547,2.020107003108268,0.3470268005893336,0.878247582738744,0.06662561659159709,G1
capers-egs47-v4_prism-clear_6368_19300.spec.fits,4.5332627,1.3912524378577126e-20,11.355897640028996,0.8584951101460598,43.32191877350218,0.004905037784173061,1.517766042604321,0.12559040798666815,3.4677788449256455,0.439655996987262,1.4861421987918708,0.11728875630761541,G2
capers-egs47-v4_prism-clear_6368_212932.spec.fits,2.28602,2.976790982634036e-20,7.532162476641742,1.3385065902605855,42.64145373875038,0.010482985325278804,3.8214468023800383,0.6967447264423727,2.088488753079725,0.9299573421801902,0.8117379080416517,0.09362646452951841,G1
capers-egs49-v4_prism-clear_6368_11585.spec.fits,6.6958222,2.6560217610707316e-20,8.031413891928928,0.2969596963780292,44.33874260752753,0.0018935403537625461,0.8823689171088853,0.04247781581676698,1.620195108683637,0.2058479860886505,3.112701068303272,0.13640500580456194,G3
capers-egs49-v4_prism-clear_6368_8752.spec.fits,8.357495,1.4180632809806053e-20,,,44.000934995604425,0.005012753868683717,,,2.37233233003754,0.3025246306420858,1.5172021680698546,0.27565631306903765,G2
capers-egs53-v4_prism-clear_6368_10108.spec.fits,6.6230583,1.3180605809345321e-20,7.612188626447633,0.5532002205481339,43.537129235072904,0.007884017868736493,2.96997218666013,0.2318028074722149,2.7060704827335242,0.44560999522633477,0.9665201559422961,0.1950523586683081,G1
capers-egs61-v4_prism-clear_6368_23961.spec.fits,5.00191,8.363682535303359e-21,12.017115209131902,2.062632738790265,43.46080811306833,0.007601822031993777,2.1545826330901017,0.3935708509535764,1.4894416843698421,0.939042176754888,2.9225418115214628,0.3308608002205967,G3
capers-egs65-v4_prism-clear_6368_14197.spec.fits,7.152932,3.291380730195923e-21,16.0970869376235,1.3645829676522538,43.625878607712245,0.006729504927484697,1.4325648507732385,0.13859563724803517,3.0102689429326137,1.2133685344905647,4.54277555098239,0.7087367974377373,G4
capers-egs65-v4_prism-clear_6368_19799.spec.fits,4.2235518,1.701344836806552e-20,10.455018039638581,1.310929631366987,43.673089473914274,0.004251327821101825,2.4823606729844054,0.32668669277659157,1.9831895695492405,0.5454640073400061,3.324051224656393,0.1776938292679353,G3
capers-udsp1-v4_prism-clear_6368_23419.spec.fits,5.5160136,2.76088695419543e-20,9.09163499279163,0.29083106164140915,43.84605659553506,0.0038245032156218883,1.6581838294334317,0.059933013714888315,2.4750042146445113,0.3441835837992671,1.5059292502147787,0.10922427244742194,G2
capers-udsp2-v4_prism-clear_6368_10997.spec.fits,5.1536555,9.016578686005072e-21,8.301963545649006,0.987111280661785,43.70142518261946,0.005598585831485536,3.3917955160609394,0.4232447437000726,0.07736204672584213,1.2343995014145128,3.881509706809195,0.3794273572563505,G4
capers-udsp2-v4_prism-clear_6368_15322.spec.fits,3.70188,3.0207155456827203e-20,7.04272538634865,0.4841552535743583,43.57376983537519,0.003535752353538868,1.875623967323575,0.14001957989460698,1.8930893115550222,0.40839632771151996,1.9739610555465255,0.07996473821177201,G2
ceers-ddt-v4_prism-clear_2750_1768.spec.fits,5.0884247,5.241776784397869e-21,9.53582575892715,1.0925595859940591,43.10214798132198,0.011961185621437664,1.9429968297637654,0.23821627586513927,2.286463601821159,0.9952742076954019,1.88799059524638,0.3633488333764955,G2
cosmos-transients-v4_prism-clear_6585_58018.spec.fits,3.9262767,4.997310621185933e-20,9.391761361178165,0.5021749707412537,43.74110734878241,0.0025084812758464636,3.4824158089649604,0.19383181515081932,3.4048547607911956,0.2300039721058642,1.5568043454156115,0.04814312018269901,G2
cosmos-transients-v4_prism-clear_6585_61234.spec.fits,7.003398,1.6741922229403376e-20,10.039756442415356,0.3763644042133949,43.89371809805111,0.004509451148571486,2.155839230542181,0.0893929780809378,2.294271076861966,0.41432791116831535,1.5016162073933552,0.16884030167979883,G2
egs-nelsonx-v4_prism-clear_4106_47962.spec.fits,6.7285585,1.886418547676466e-20,3.919352610751379,0.10706206908060723,43.75047778605335,0.006572756234650257,2.713642299367794,0.08201852174572855,2.7766825422943273,0.38125941890601284,1.1108394775505566,0.16224676136620178,G1
egs-nelsonx-v4_prism-clear_4106_51623.spec.fits,4.9589176,1.0919967589421747e-20,13.118478224146937,0.5763344931143104,43.60866589109284,0.004226365992586523,1.031832088858265,0.05493550154897438,2.173135604898251,0.6857823983022215,2.981934546197304,0.18565294309197095,G3
egs-nelsonx-v4_prism-clear_4106_71365.spec.fits,4.8042393,1.0007417393639737e-20,5.3575050654054674,0.2798445229371396,43.07204623665526,0.012892560709754974,5.519281558447446,0.3081204462571299,1.8783143726069298,0.7598229196389833,1.026348343484129,0.16922267667531646,G1
gds-barrufet-s67-v4_prism-clear_2198_12577.spec.fits,5.2363167,1.1853563682472658e-20,9.448507582967013,0.8183156613352427,43.29504844781866,0.017003830383746532,4.301316256625958,0.3933741770065633,1.9987720985524875,1.0716414407421544,1.2352488760067302,0.3103674464713542,G1
gds-barrufet-s67-v4_prism-clear_2198_4490.spec.fits,3.705768,2.0596007372737083e-20,5.7897934568455796,0.7519606590405572,43.39021007743761,0.009210121409125804,3.9037519801382206,0.5398408462803298,4.144780020297712,1.0238713118646798,1.96512854529453,0.20502409737497293,G2
gds-barrufet-s67-v4_prism-clear_2198_4820.spec.fits,3.7993941,3.090561208778197e-20,7.501587723297829,0.8088259883573761,43.35073351326827,0.010343392971225995,4.630089811474317,0.5165451812396424,2.2415440316777855,0.7125928782379242,1.072821576071502,0.1399266401737943,G1
gto-wide-egs1-v4_prism-clear_1213_2974.spec.fits,2.3187494,5.2720225721462186e-20,4.211836256003945,0.4038650926736542,42.8653376543195,0.01141650460220589,2.7797448512650504,0.2884484925429346,2.96250836226388,0.8567321737922429,0.7811144102870232,0.084624196825742,G1
gto-wide-uds13-v4_prism-clear_1215_4273.spec.fits,4.053912,2.677449627980689e-20,9.77257781433908,1.9265391047801472,43.20779743787976,0.02843075859808053,5.4171181813602445,1.0910159100007162,2.6380009871054226,1.4272477264071972,0.8717656578948573,0.3006295592731548,G1
gto-wide-uds14-v4_prism-clear_1215_4446.spec.fits,4.68347,4.773664573686636e-20,11.600440157763199,0.6009851382414908,43.835224410770586,0.004490409578671972,3.106169839534922,0.16980296713169557,1.8625100352156942,0.3713001546483076,1.2593800418041343,0.10330744533823509,G2
jades-gdn198-v4_prism-clear_1181_39353.spec.fits,4.85197,1.2898751152545328e-20,4.47848790170208,0.5866717431309139,43.16874000419823,0.017870573258800704,3.256236560386801,0.49645865062427796,3.54744389433432,1.1315559914734734,1.1373090441724327,0.33747145111793386,G1
jades-gdn198-v4_prism-clear_1181_53501.spec.fits,3.43611,4.2329142329113344e-20,7.636394229218211,0.34390220112584124,43.31915778554034,0.011213885196756479,3.654190946324858,0.1733709384833834,2.0182253543873454,0.5525415418041646,0.9423028979522075,0.10572078788395747,G1
jades-gdn198-v4_prism-clear_1181_68797.spec.fits,5.0410485,4.0750334878419776e-20,15.432264769145974,0.269335016709892,44.23576498959771,0.0020301188041109697,2.3251114171953953,0.045854605917710796,1.3761755927338648,0.22130953595410421,3.676649720139836,0.10354219593227036,Outliers
jades-gdn09-v4_prism-clear_1181_73488.spec.fits,4.130943,2.329416861404108e-20,9.883077350864092,0.29501372813526316,43.30623077358301,0.005210785951408781,3.5445938008761075,0.11171050228725332,3.0345767491849354,0.367006952389793,1.0336114799966114,0.07495402315285633,G1
jades-gdn2-v4_prism-clear_1181_28074.spec.fits,2.2734878,3.184925070325716e-19,9.116279987799906,0.14995559407081416,44.04390632461664,0.0008729316935252029,2.773287514851887,0.054151388356519066,2.1308644669537453,0.10507160218477829,1.8179011809062575,0.016959402993354928,G2
jades-gds-w09-v4_prism-clear_1212_2993.spec.fits,4.8245463,1.7690102316350448e-20,10.946812707379165,1.1595725799644478,43.75593026831863,0.007335167290278832,0.23160508209388747,0.06467625237684992,1.6632141902457007,0.7775006667709985,2.6652297617019594,0.2739656597885493,G3
jades-gds-wide-v4_prism-clear_1180_12402.spec.fits,3.1927059,2.4569019885216735e-20,11.126516419500113,0.9245127056615718,43.62215860971485,0.004028808661121985,1.2322098612535146,0.11238520840461763,1.8922394479836069,0.9375415504027238,3.957374887982729,0.18413376074310972,G4
jades-gds-wide-v4_prism-clear_1180_13329.spec.fits,3.935016,2.6090307072522023e-20,5.799169741733349,0.49084178141396917,43.2340629256111,0.013598003566361427,6.506466341704811,0.57213047145906,2.9615060144572674,0.7282069852812034,0.9145919903273254,0.13935866655153722,G1
jades-gds02-v4_prism-clear_1286_38562.spec.fits,4.8218217,2.2961824342011517e-20,6.745960384902142,0.3038629825947501,43.114253805840335,0.01689548142549313,6.144123451617037,0.2840445381692171,2.4357497322729764,0.3355007812742822,0.4999653542819572,0.08564050367712304,G1
jades-gds05-v4_prism-clear_1286_204851.spec.fits,5.485453,1.59553750441446e-20,7.6847061625126045,0.2803137941249614,43.541805836842045,0.010185387151821601,4.403688458209097,0.1720410211926882,2.4133365527756103,0.7622028911839067,1.428084917440096,0.2322364193498622,G2
jades-gds06-v4_prism-clear_1286_159717.spec.fits,5.074387,2.1098385164817813e-20,16.639771064005473,0.9367818095535005,43.464181177604445,0.0062133984012859855,4.385317385590384,0.25365992171470764,2.2610940961403996,0.3543235419512668,1.151667572307886,0.11345612819327275,G1
macs0416-v4_prism-clear_1208_3104035.spec.fits,5.006783,6.949551516977705e-21,6.0761052605692445,0.43551945003998194,43.24666785926812,0.016099034864854644,4.045398773706613,0.3158646316549052,3.118037437091816,2.122932082406857,2.2888871795427,0.5418357183321532,G2
macs1423-v4_prism-clear_1208_4103248.spec.fits,5.774661,1.0361380462731638e-20,10.170955850992751,1.332733583296406,43.598202886112155,0.010691501692519978,2.520805078836473,0.3564259624065378,2.7250107730681865,1.237580649564354,2.2134628774205956,0.46135017434827585,G2
macsj0647-v4_prism-clear_1433_1045.spec.fits,4.5276384,4.362291754479867e-20,7.163151587604165,0.20264809325624666,43.454243732816494,0.00801282211717691,5.434240223709839,0.173246054733387,2.1234761085809173,0.250959575098159,0.7037726682242502,0.06767078080396659,G1
nexus-obs3-v4_prism-clear_5105_10868.spec.fits,4.38856,1.745469021406187e-20,8.334149569239141,1.686166486421199,43.59482558559945,0.013814467069366287,3.776629172276014,0.7985480726974495,1.045663651718329,1.3898506119511949,2.5971901604361727,0.38915687205292665,G3
nexus-obs3-v4_prism-clear_5105_21941.spec.fits,3.67055,3.011222079641763e-20,8.743612934430686,0.8863621571567211,43.385175838467276,0.013569449923906518,3.868821094587674,0.41200993740273545,3.4352249320166455,0.9766389484540833,1.3385865864349002,0.19013659319113652,G2
nexus-obs3-v4_prism-clear_5105_23192.spec.fits,4.52104729497047,5.753978946783034e-20,10.315363334165752,0.6646271874510088,44.3549274414324,0.0034066486515662575,0.7483461226998254,0.06452390146635385,2.0416791180266936,0.5042060934528193,3.843435500069065,0.2042139816023167,G4
nexus-obs5-v4_prism-clear_5105_20152.spec.fits,2.86932,7.75036968676678e-20,7.139870550741727,0.5733757420919967,43.600358357046716,0.007582820129357515,3.2080727251634253,0.2781243272364394,2.9978628342399705,0.6369091105559254,1.471050522788493,0.10882035682339626,G2
nexus-obs5-v4_prism-clear_5105_2314.spec.fits,4.42207,1.4707574062335288e-20,17.448155033620296,1.5762433521568635,43.6771644032281,0.008433471656591252,2.015387970979896,0.1920310386023767,2.820330316242311,1.654303688294614,3.5022179812686725,0.4592763028048628,Outliers
nexus-obs5-v4_prism-clear_5105_3713.spec.fits,3.21512,4.4135048732616676e-20,12.45468043684276,2.503908773475069,43.316137952551344,0.019508799268805888,5.222275624282926,1.0814734220754139,2.420254313452021,1.167329851262765,1.1992306757101623,0.1956353877467293,G1
nexus-obs5-v4_prism-clear_5105_7712.spec.fits,5.86941,3.476712596704983e-20,12.406857152456997,1.244948073291079,44.26070803934327,0.006429375314539243,0.6959451449715275,0.09621675423274052,1.7413039383399394,0.6435682935932772,2.686219803257555,0.38276559906843005,G3
rubies-egs51-v4_prism-clear_4233_926125.spec.fits,5.2878757,1.0235453081554391e-20,9.740430571614649,0.7140110534382496,43.26255857986003,0.020766145854377527,4.30401157573446,0.3313415562555151,2.062518198651103,1.20156076205892,1.094911906968669,0.3627823981119944,G1
rubies-egs53-v4_prism-clear_4233_42046.spec.fits,5.2845182,3.930824189166931e-20,10.073670862061974,0.3108797390310025,44.12420105121413,0.003735026203145253,0.5088538065483452,0.02137740707417059,1.4391449589459586,0.33032250424747417,2.2364682887939717,0.148114397589873,G2
rubies-egs61-v4_prism-clear_4233_55604.spec.fits,6.988607,3.603099112351212e-20,11.366781301158753,0.3117782816875927,44.374955439946206,0.0038916739906760256,1.0204384515086962,0.03372406381475179,2.5132012622501594,0.38748523511433447,2.235033603570255,0.2159683985090378,G2
rubies-egs61-v4_prism-clear_4233_61496.spec.fits,5.083718,8.686569168649866e-21,7.978483933571669,1.1566518656625893,43.3627950676825,0.018189727750293372,0.9831698651500956,0.17522586625707476,3.373186407953495,1.6955411955835653,1.907048920476028,0.5830418938214162,G2
rubies-uds1-v4_prism-clear_4233_31747.spec.fits,4.129401,1.5189889009388216e-20,8.998284840493413,1.3357455898318933,43.510286406660335,0.008178058236850916,0.9908068737598741,0.19233514792961875,1.0094734922700792,1.3090335152281651,2.6691706140677978,0.2619638305672285,G3
rubies-uds1-v4_prism-clear_4233_40579.spec.fits,3.113558,7.074874380389922e-20,13.2056069111267,0.6422242921215577,44.137540757143,0.001914831488619484,1.0004934214380898,0.061996625393293744,1.0188797361804625,0.3926480272978337,5.218965932675162,0.1105826631840305,Outliers
rubies-uds21-v4_prism-clear_4233_175975.spec.fits,2.9519691,2.3822095627466717e-20,6.589513123996676,1.336477227621288,42.96562061796556,0.01936129186692881,3.6374469678626387,0.7612317717749751,2.7204728894488546,1.4284874329050834,1.2931869774932367,0.21132693091466825,G2
rubies-uds21-v4_prism-clear_4233_182791.spec.fits,4.717405,3.640540856702293e-20,9.636753618339853,0.6218177001487826,43.65092580448193,0.007468325771185391,4.136835903876396,0.27716932611784284,1.9873549290340833,0.4466699674250364,1.055091220015878,0.13023786348433278,G1
rubies-uds22-v4_prism-clear_4233_119957.spec.fits,4.151636,6.96225349962638e-21,8.071625557665836,0.7381530626843884,43.209370636902236,0.019443748172996322,5.766971217778211,0.5546852359766556,3.3944358310136775,2.615971584362014,2.8775286250358376,0.5048753147687142,G3
rubies-uds23-v4_prism-clear_4233_144195.spec.fits,3.3547552,1.1540607944529554e-20,12.320651648981377,2.434423599169568,43.55333540461913,0.005582367348608841,0.7755135891577793,0.22395030999765328,3.880741605728729,2.3081687505325594,6.3161344761065665,0.39738270630516126,Outliers
rubies-uds23-v4_prism-clear_4233_167741.spec.fits,4.1157036,4.5635993667212247e-20,4.807052530957245,0.7894412072066985,43.16814814674214,0.04000952621658982,3.4678650321601587,0.5884025162871513,2.151351942719405,1.1812839267538775,0.4547277313629892,0.21245179051473478,G1
rubies-uds23-v4_prism-clear_4233_172350.spec.fits,5.5864534,1.478841053147609e-20,13.747506414120945,1.5306763128353555,43.66141042399555,0.008884434500366467,1.578177716793179,0.18776578939039087,1.2504577291802617,1.0968854366844094,1.8547156688634798,0.3089455720663845,G2
rubies-uds3-v4_prism-clear_4233_47509.spec.fits,5.671981,2.5955415440235737e-20,7.461911166986742,0.4436721604069098,43.63921784372199,0.01299124433883847,5.323406839202228,0.33416747809477815,2.7248591312587123,0.6579448252716467,0.8923629734987889,0.21354639827970115,G1
rubies-uds31-v4_prism-clear_4233_154183.spec.fits,3.548925327627479,8.320946423969908e-21,9.397890268754196,1.0888307165744608,43.895859989087526,0.0030213575743935905,0.15946310314430995,0.06891369630074992,2.288155030287733,2.714780408000841,17.489987825541807,0.6867099343504744,Outliers
rubies-uds33-v4_prism-clear_4233_29813.spec.fits,5.442071,1.283219285565333e-20,8.538334056233913,0.8488902576670752,43.23734409973435,0.029784396544283,1.7860724799127747,0.19027445418619568,2.8058217417969424,1.3556162490897607,0.9407477552134144,0.460755111591662,G1
rubies-uds42-v4_prism-clear_4233_23438.spec.fits,3.6860464,2.4288454066594866e-20,6.376941442903918,1.1836317906176985,43.23390323441519,0.018062445729832177,4.591217904789773,0.8717603961808384,2.4549502266650562,1.1288635057172665,1.1722790719505685,0.22186461745549213,G1
uncover-61-v4_prism-clear_2561_20698.spec.fits,2.417316,3.2619681499920205e-20,7.20420230913996,0.8915743088864425,43.037051482313885,0.0038216887866937554,3.4698776238907163,0.45527890293673384,2.4833438467570947,0.4875646581758313,1.8187145497930952,0.0713963663764791,Outliers
uncover-61-v4_prism-clear_2561_21547.spec.fits,5.0578914,2.869545163044864e-20,10.093266350611806,0.5388612530600527,43.86048378473633,0.0026774172773578186,4.560618052439286,0.2551818491865725,1.9096687978544373,0.18386972418558167,1.9676621196577622,0.06597617019889207,G2
uncover-61-v4_prism-clear_2561_24968.spec.fits,6.3467827,8.990389538241546e-21,10.379457722271937,0.7198181532947956,43.428624687595494,0.009006112257896604,2.995623943591849,0.21869583046492988,3.329215279332193,0.6962126692489269,1.3539914021276735,0.25033907346743034,G2
uncover-61-v4_prism-clear_2561_27114.spec.fits,5.1957436,5.7655679242098224e-21,7.533433852393479,2.0079139152931518,43.27703914622572,0.011323125335422901,1.897485371788977,0.543648216256806,1.5643079363561383,1.3723296127854523,2.6920356249822004,0.4002043287394416,G3
uncover-v4_prism-clear_2561_45924.spec.fits,4.463361263885918,1.373611021497239e-19,7.79356593013793,0.32055692492723775,44.67548862755807,0.00022991546505579663,0.9632084923561699,0.05130819281137977,1.8759231167564296,0.025442619088824645,3.433031603188736,0.014498899888010702,G3
uncover-v4_prism-clear_2561_28876.spec.fits,7.0362444,4.46234086711015e-21,7.383194249075899,0.6707624463698787,43.42231119399301,0.010802753993981895,0.2971095693751797,0.05721009452672346,2.857349004245766,1.26059970143898,1.9243628678015545,0.5717802415606257,G2
uncover-v4_prism-clear_2561_38108.spec.fits,4.968462,1.5285272911708838e-20,10.321249547224731,0.8189934631594626,43.3543693540527,0.006747423479513515,2.5152853976540888,0.2108031981644701,3.1887912989931366,0.41747492226953364,1.1801068831826254,0.11612021250600986,G1
uncover-v4_prism-clear_2561_4286.spec.fits,5.8352246,1.477175184448618e-20,10.348169777784664,0.46167919861895435,43.740248900234626,0.00479798324903058,2.7554485088472913,0.1334211773372677,2.376764015743445,0.44428703362732824,2.1095835902962516,0.191743370041132,G2
uncover-v4_prism-clear_2561_49702.spec.fits,4.866683,4.345088992035555e-21,7.124891625204528,0.9621217233784911,43.06013164059313,0.011509112134969968,2.4047192955505867,0.35250355514354,3.923708677177305,1.4745410663608178,2.129227061947827,0.3856260833769943,G2
uncover-v4_prism-clear_2561_13123.spec.fits,7.0370483,7.834985782357563e-21,8.20727090850652,0.4596416272512447,43.977388766629275,0.002086763160956906,0.138706869458237,0.038396773391793336,2.7788346526855086,0.376337045538876,4.342988543604271,0.20092495919174155,G4
